bus_route_name,bus_name,bus_type,departure_time,duration,reaching_time,star_rating,price,seat_availability
Goa to Mumbai,AdJolly Tours and Travels,VE A/C Sleeper (2+1),2024-07-18 18:25:00,12h 05m,2024-07-18 06:30:00,4.1,1499,"3 Seats available
2 Window"
Goa to Mumbai,Rajdhani Travels Corporation,VE A/C Sleeper (2+1),2024-07-18 19:30:00,12h 40m,2024-07-18 08:10:00,4.4,699,"23 Seats available
8 Single"
Goa to Mumbai,Atmaram Travels(M.Dev),A/C Sleeper (2+1),2024-07-18 22:00:00,13h 50m,2024-07-18 11:50:00,4.3,700,"22 Seats available
6 Single"
Goa to Mumbai,IntrCity SmartBus,AC Sleeper (2+1),2024-07-18 18:30:00,14h 30m,2024-07-18 09:00:00,4.2,600,"22 Seats available
5 Single"
Goa to Mumbai,IntrCity SmartBus,AC Sleeper (2+1),2024-07-18 21:00:00,14h 20m,2024-07-18 11:20:00,4.2,600,"29 Seats available
7 Single"
Goa to Mumbai,Zingbus Plus,VE A/C Sleeper (2+1),2024-07-18 20:25:00,15h 25m,2024-07-18 11:50:00,4.5,567,19 Seats available
Goa to Mumbai,Atmaram Travels ( Dolphin ),A/C Sleeper (2+1),2024-07-18 17:30:00,15h 55m,2024-07-18 09:25:00,4.2,626,"26 Seats available
8 Single"
Goa to Mumbai,Giroba Travels (Shree),A/C Sleeper (2+1),2024-07-18 16:30:00,14h 40m,2024-07-18 07:10:00,New,3000,29 Seats available
Goa to Mumbai,GANESH PRASAD TRAVELS,A/C Seater (2+2),2024-07-18 17:20:00,15h 10m,2024-07-18 08:30:00,New,2500,49 Seats available
Goa to Mumbai,GANESH PRASAD TRAVELS,NON A/C Seater (2+2),2024-07-18 16:20:00,15h 55m,2024-07-18 08:15:00,New,2000,49 Seats available
Goa to Mumbai,Giroba Travels (Shree),A/C Seater Hi-Tech Push Back (2+2),2024-07-18 17:00:00,13h 10m,2024-07-18 06:10:00,New,2000,40 Seats available
Goa to Mumbai,Atmaram Travels ( Dolphin ),A/C Sleeper (2+1),2024-07-18 15:15:00,14h 00m,2024-07-18 05:15:00,4.5,800,"5 Seats available
5 Single"
Pandharpur to Goa,Oops! No buses found.,,,,,,,
Bangalore to Goa,Intercity travels,Bharat Benz A/C Sleeper (2+1),2024-07-18 21:00:00,13h 15m,2024-07-18 10:15:00,4.6,2299,"2 Seats available
1 Window"
Bangalore to Goa,Sunrise Tours and Travels,A/C Sleeper (2+1),2024-07-18 21:20:00,12h 55m,2024-07-18 10:15:00,4.5,1799,"8 Seats available
4 Window"
Bangalore to Goa,Streamline tours and travels,A/C Sleeper (2+1),2024-07-18 21:15:00,13h 00m,2024-07-18 10:15:00,4.1,1950,"14 Seats available
4 Single"
Bangalore to Goa,IntrCity SmartBus,AC Sleeper (2+1),2024-07-18 20:30:00,13h 10m,2024-07-18 09:40:00,4.2,1490,"14 Seats available
4 Single"
Bangalore to Goa,Streamline tours and travels,A/C Sleeper (2+1),2024-07-18 22:20:00,12h 55m,2024-07-18 11:15:00,4.0,1910,"12 Seats available
4 Single"
